Title,Director,Stars,IMDb-Rating,Genres,Duration,Censor-board-rating,ReleaseYear
How to Train Your Dragon,"DeanDeBlois,",", JayBaruchel, GerardButler, ChristopherMintz-Plasse, CraigFerguson",8.1,"Animation,Action,Adventure",98min,U,2010
WALL·E,AndrewStanton,"BenBurtt, ElissaKnight, JeffGarlin, FredWillard",8.4,"Animation,Adventure,Family",98min,U,2008
Before Sunrise,RichardLinklater,"EthanHawke, JulieDelpy, AndreaEckert, HannoPöschl",8.1,"Drama,Romance",101min,16,1995
"Lock, Stock and Two Smoking Barrels",GuyRitchie,"JasonFlemyng, DexterFletcher, NickMoran, JasonStatham",8.2,"Action,Comedy,Crime",107min,A,1998
Indiana Jones and the Last Crusade,StevenSpielberg,"HarrisonFord, SeanConnery, AlisonDoody, DenholmElliott",8.2,"Action,Adventure",127min,U,1989
The Fugitive,AndrewDavis,"HarrisonFord, TommyLeeJones, SelaWard, JulianneMoore",7.8,"Action,Crime,Drama",130min,U,1993
Who Framed Roger Rabbit,RobertZemeckis,"BobHoskins, ChristopherLloyd, JoannaCassidy, CharlesFleischer",7.7,"Animation,Adventure,Comedy",104min,U,1988
Gone with the Wind,"VictorFleming,","SamWood, , ClarkGable, VivienLeigh, ThomasMitchell, ""BarbaraONeil""",8.2,"Drama,Romance,War",238min,U,1939
Inside Man,SpikeLee,"DenzelWashington, CliveOwen, JodieFoster, ChristopherPlummer",7.6,"Crime,Drama,Mystery",129min,18,2006
Saw,JamesWan,"CaryElwes, LeighWhannell, DannyGlover, KenLeung",7.6,"Horror,Mystery,Thriller",103min,A,2004
Halloween,JohnCarpenter,"DonaldPleasence, JamieLeeCurtis, TonyMoran, NancyKyes",7.7,"Horror,Thriller",91min,A,1978
Gattaca,AndrewNiccol,"EthanHawke, UmaThurman, JudeLaw, GoreVidal",7.8,"Drama,Sci-Fi,Thriller",106min,UA,1997
The Deer Hunter,MichaelCimino,"RobertDeNiro, ChristopherWalken, JohnCazale, JohnSavage",8.1,"Drama,War",183min,A,1978
Portrait de la jeune fille en feu,CélineSciamma,"NoémieMerlant, AdèleHaenel, LuànaBajrami, ValeriaGolino",8.1,"Drama,Romance",122min,18,2019
Stardust,MatthewVaughn,"CharlieCox, ClaireDanes, SiennaMiller, IanMcKellen",7.6,"Adventure,Family,Fantasy",127min,U,2007
RoboCop,PaulVerhoeven,"PeterWeller, NancyAllen, ""DanOHerlihy,"", RonnyCox",7.6,"Action,Crime,Sci-Fi",102min,UA,1987
Despicable Me,"PierreCoffin,",", SteveCarell, JasonSegel, RussellBrand, JulieAndrews",7.6,"Animation,Adventure,Comedy",95min,U,2010
Big Hero 6,"DonHall,",", RyanPotter, ScottAdsit, JamieChung, T.J.Miller",7.8,"Animation,Action,Adventure",102min,U,2014
Tangled,"NathanGreno,",", MandyMoore, ZacharyLevi, DonnaMurphy, RonPerlman",7.7,"Animation,Adventure,Comedy",100min,U,2010
